TF	EntrezID	Complex_Name	PubMedID	Proteins	V2	V2	V2	V2	V2	SYMBOL	GENE_ID_Check
RUNX3	864	No complex	No complex	RUNX3	26	4	16	14	7	RUNX3	ENSG00000020633
GMEB1	10691	No complex	No complex	GMEB1	211	126	307	293	67	GMEB1	ENSG00000162419
NFYC	4802	CBF-DNA complex	15243141	NFYA	201	244	331	417	89	NFYA	ENSG00000001167
NFYC	4802	CBF-DNA complex	15243141	NFYB	319	76	166	202	48	NFYB	ENSG00000120837
NFYC	4802	CBF-DNA complex	15243141	NFYC	214	437	411	361	82	NFYC	ENSG00000066136
NFYC	4802	p32-CBF-DNA complex	15243141	NFYA	201	244	331	417	89	NFYA	ENSG00000001167
NFYC	4802	p32-CBF-DNA complex	15243141	NFYB	319	76	166	202	48	NFYB	ENSG00000120837
NFYC	4802	p32-CBF-DNA complex	15243141	C1QBP	947	53	237	413	74	C1QBP	ENSG00000108561
NFYC	4802	p32-CBF-DNA complex	15243141	NFYC	214	437	411	361	82	NFYC	ENSG00000066136
JUN	3725	SMAD3-SMAD4-cJun-cFos complex	9732876	FOS	2007	4353	277	5926	523	FOS	ENSG00000170345
JUN	3725	SMAD3-SMAD4-cJun-cFos complex	9732876	JUN	1761	3209	904	1486	222	JUN	ENSG00000177606
JUN	3725	SMAD3-SMAD4-cJun-cFos complex	9732876	SMAD3	696	804	612	723	1422	SMAD3	ENSG00000166949
JUN	3725	SMAD3-SMAD4-cJun-cFos complex	9732876	SMAD4	782	465	396	466	122	SMAD4	ENSG00000141646
JUN	3725	NFAT-JUN-FOS DNA-protein complex	9510247	FOS	2007	4353	277	5926	523	FOS	ENSG00000170345
JUN	3725	NFAT-JUN-FOS DNA-protein complex	9510247	JUN	1761	3209	904	1486	222	JUN	ENSG00000177606
JUN	3725	NFAT-JUN-FOS DNA-protein complex	9510247	NFATC2	266	20	56	67	54	NFATC2	ENSG00000101096
JUN	3725	ERG-JUN-FOS DNA-protein complex	11278640	FOS	2007	4353	277	5926	523	FOS	ENSG00000170345
JUN	3725	ERG-JUN-FOS DNA-protein complex	11278640	JUN	1761	3209	904	1486	222	JUN	ENSG00000177606
JUN	3725	ERG-JUN-FOS DNA-protein complex	11278640	ERG	19	24	26	62	29	ERG	ENSG00000157554
JUN	3725	ETS2-FOS-JUN complex	9334186	FOS	2007	4353	277	5926	523	FOS	ENSG00000170345
JUN	3725	ETS2-FOS-JUN complex	9334186	JUN	1761	3209	904	1486	222	JUN	ENSG00000177606
