,Facs,P
1,CTCF,0
2,ZIC2,0
3,GLIS1,0
4,IKZF2,0.996
5,SAP130,100
6,GLIS2,0
7,RAD21,0
8,ZFHX2,100
9,EZH2phosphoT487,100
10,ZNF335,100
11,EGR2,0
12,RBM39,100
13,SMAD4,0
14,EZH2,0
15,PATZ1,0
16,ZNF600,100
17,ZBTB26,100
18,GATAD2A,100
19,RAD21,0
20,MYC,0
21,ASH2L,100
22,SP1,0
23,MAZ,0
24,MAX,0
25,ARID4B,100
26,GABPB1,100
27,TEAD3,0.404
28,ZBTB33,0
29,KLF1,0
30,RBBP5,100
31,RARA,0
32,NR2F6,0
33,SOX13,0.016
34,ZGPAT,100
35,POLR2G,100
36,POLR2AphosphoS5,100
37,HNF4A,0
38,RXRA,0
39,ZBTB17,100
40,SCRT2,0
41,XRCC5,100
42,ZNF48,100
43,ELF3,0
44,KDM1A,100
45,PRDM10,100
46,HNRNPL,0.001
47,RXRB,0
48,CEBPA,0.539
49,KLF17,100
50,EGR1,0
51,POLR2A,100
52,ZBTB8A,100
53,FOXA3,1
54,ETV5,0
55,ZFP2,0.116
56,BCL6,0
57,IKZF1,0
58,SUZ12,100
59,ZNF341,100
60,SOX5,1
61,GATAD2B,100
62,HDAC2,100
63,AGO2,100
64,ZBTB20,100
65,ERF,0
66,RBPJ,0
67,IKZF5,100
68,TAF15,100
69,E2F6,0
70,TFAP4,0
71,CTCF,0
72,ZNF263,0
73,CEBPG,0
74,BHLHE40,0
75,RBFOX2,100
76,VEZF1,0
77,ZBTB33,0
78,CTBP1,100
79,ZNF398,100
80,FOXA2,0.438
81,ZBTB7A,0
82,HIC1,0
83,FOXA1,0.99
84,KLF8,0
85,FOSL2,0
86,EBF1,0
87,SP5,100
88,NFIL3,1
89,MNT,0
90,SP7,100
91,SP3,0
92,ZEB2,100
93,NR2F6,0
94,ZNF770,100
95,SP2,0
96,SIN3A,0
97,TFDP1,0
98,HNRNPLL,0
99,HMGXB4,100
100,ZNF614,100
101,ZBTB48,100
102,MAZ,0
103,FOS,0
104,ESR1,0
105,ZNF580,100
106,JUND,0
107,SKI,100
108,TAF1,0
109,USF1,0
110,DPF2,100
111,ZNF687,100
112,KLF16,0
113,IRF2,0.251
114,EP300,0
115,ZNF189,100
116,L3MBTL2,100
117,LARP7,100
118,KLF9,0
119,PHF8,100
120,NFIA,0
121,TFE3,0
122,RCOR2,100
123,ZNF692,100
124,ZSCAN30,100
125,HNF4G,0
126,ZNF2,0
127,ZNF792,100
128,HMG20A,100
129,ZNF71,0
130,DMAP1,100
131,ZNF561,100
132,MIXL1,1
133,NR2F1,0
134,KDM3A,100
135,TEAD1,0
136,HNF1A,0.014
137,SMARCE1,100
138,KAT8,100
139,FOXP1,0
140,HLF,1
141,MXD3,100
142,ZNF423,0
143,MIER3,100
144,RUNX3,0
145,PPARG,0
146,DRAP1,100
