,GENENAME,GENEID,PROTEINID,TXBIOTYPE,chemical,protein,experimental,prediction,database,textmining,combined_score,CIDs,Source,ID,pref_name,max_phase,molecule_type,first_approval,mechanism_of_action,action_type,synonyms
1,RUNX3,ENSG00000020633,ENSP00000343477,protein_coding,CIDm00005978,9606.ENSP00000343477,0,0,700,0,700,CIDs00005978,ChEMBL,CHEMBL501867,VINCRISTINE SULFATE,4,Small molecule,1963,Tubulin inhibitor,INHIBITOR,Vincristine sulfate | 37231 | LILLY-37231 | NSC-67574 | Kyocristine | Leurocristine Sulfate | Marqibo kit | Oncovin | Vincasar | Vincasar pfs | Vincrex | Vincristine sulfate pfs
2,RUNX3,ENSG00000020633,ENSP00000343477,protein_coding,CIDm00005746,9606.ENSP00000343477,0,0,700,0,700,CIDs00005746,ChEMBL,CHEMBL105,MITOMYCIN,4,Small molecule,1981,DNA inhibitor,INHIBITOR,Mitomycin | Mitomycin c | Mytozytrex | Ugn-102 | NSC-26980 | UGN-101 | UGN-102 | Jelmyto | Mitosol | Mitozytrex | Mutamycin
3,RUNX3,ENSG00000020633,ENSP00000343477,protein_coding,CIDm00003310,9606.ENSP00000343477,0,0,700,0,700,CIDs00036462,ChEMBL,CHEMBL44657,ETOPOSIDE,4,Small molecule,1983,DNA topoisomerase II inhibitor,INHIBITOR,Etoposide | NSC-141540 | VP-16-213 | Toposar | Vepesid | Etoposide resolution mixture
4,RUNX3,ENSG00000020633,ENSP00000343477,protein_coding,CIDm00001690,9606.ENSP00000343477,0,0,700,144,735,CIDs00031703,ChEMBL,CHEMBL359744,DOXORUBICIN HYDROCHLORIDE,4,Small molecule,1974,DNA topoisomerase II alpha inhibitor,INHIBITOR,Doxorubicin hydrochloride | Doxorubicin liposomal complex of the hydrochloride | Liposomal doxorubicin hydrochloride | Adriamycin | Adriamycin pfs | Adriamycin Rdf | Caelyx | Doxil | Doxil (liposomal) | Doxorubicin hydrochloride (liposomal) | Myocet | Rubex | Doxorubicin HCl
5,RUNX3,ENSG00000020633,ENSP00000343477,protein_coding,CIDm00001690,9606.ENSP00000343477,0,0,700,144,735,CIDs00031703,ChEMBL,CHEMBL359744,DOXORUBICIN HYDROCHLORIDE,4,Small molecule,1974,DNA inhibitor,INHIBITOR,Doxorubicin hydrochloride | Doxorubicin liposomal complex of the hydrochloride | Liposomal doxorubicin hydrochloride | Adriamycin | Adriamycin pfs | Adriamycin Rdf | Caelyx | Doxil | Doxil (liposomal) | Doxorubicin hydrochloride (liposomal) | Myocet | Rubex | Doxorubicin HCl
6,NFYA,ENSG00000001167,ENSP00000345702,protein_coding,CIDm00003209,9606.ENSP00000345702,0,0,900,0,900,CIDs00446284,ChEMBL,CHEMBL460026,ICOSAPENT,3,Small molecule,NA,Unknown,NA,Omega-3 marine triglycerides | Icosapent | Eicosapentaenoic acid | EPA 45G
7,NFYB,ENSG00000120837,ENSP00000240055,protein_coding,CIDm00003209,9606.ENSP00000240055,0,0,900,0,900,CIDs00446284,ChEMBL,CHEMBL460026,ICOSAPENT,3,Small molecule,NA,Unknown,NA,Omega-3 marine triglycerides | Icosapent | Eicosapentaenoic acid | EPA 45G
8,NFYC,ENSG00000066136,ENSP00000396620,protein_coding,CIDm00003209,9606.ENSP00000396620,0,0,900,0,900,CIDs00446284,ChEMBL,CHEMBL460026,ICOSAPENT,3,Small molecule,NA,Unknown,NA,Omega-3 marine triglycerides | Icosapent | Eicosapentaenoic acid | EPA 45G
9,FOS,ENSG00000170345,ENSP00000306245,protein_coding,CIDm00054454,9606.ENSP00000306245,0,0,700,0,700,CIDs00054454,ChEMBL,CHEMBL1064,SIMVASTATIN,4,Small molecule,1991,HMG-CoA reductase inhibitor,INHIBITOR,Simvastatin | Simvastatin hydroxy acid | Synvinolin | C10AA01 | MK-0733 | MK-733 | Flolipid | Lacersa | Ranzolont | Simvador | Zocor | Zocor heart-pro
10,FOS,ENSG00000170345,ENSP00000306245,protein_coding,CIDm00004253,9606.ENSP00000306245,0,0,900,928,992,CIDs05288826,ChEMBL,CHEMBL2103744,MORPHINE SULFATE,4,Small molecule,1984,Mu opioid receptor agonist,AGONIST,Morphine sulfate | Morphine sulfate hydrate | Morphine sulfate anhydrous | Morphine sulfate pentahydrate | NSC-11441 | Arymo er | Astramorph pf | Avinza | Depodur | Duramorph | Duramorph pf | Duromorph | Filnarine sr | Infumorph | Kadian | Moraxen | Morcap sr | Morphabond | Morphabond er | Morphgesic sr | Morphine sulfate (autoinjector) | Ms contin | Mst continus | Oramorph | Oramorph sr | Oramorph udv | Rhotard | Sevredol | Srm-rhotard | Zomorph | Morphine sulfate cii
11,FOS,ENSG00000170345,ENSP00000306245,protein_coding,CIDm00003961,9606.ENSP00000306245,0,0,900,209,918,CIDs00003961,ChEMBL,CHEMBL995,LOSARTAN POTASSIUM,4,Small molecule,1995,Type-1 angiotensin II receptor antagonist,ANTAGONIST,Losartan potassium | Losartan monopotassium salt | Cozaar | Hyzaar | DU PONT-753 | DUP 753 | DUP-753 | E-3340 | L-158086 | MK-0954 | MK0954 | Losaprex
